customer_id,customer_name,age,gender,region,employment_status,annual_income,credit_score,debt_to_income_ratio,total_txn_amount,txn_count,avg_txn_amount,outlier_txn_count,total_loan_amount,active_loans,defaulted_loans,late_loans,risk_score,risk_band
CUST-00001,Customer_1,47,M,North,Self-Employed,55489.81,743,0.499,1642.94,37,44.40378378378379,2,34220.5,1.0,0.0,0.0,20.09,Low
CUST-00002,Customer_2,54,M,South,Self-Employed,46248.72,733,0.294,719.33,15,47.955333333333336,1,11931.02,0.0,0.0,0.0,16.82,Low
CUST-00003,Customer_3,21,M,Central,Employed,43947.1,593,0.446,1839.0900000000001,35,52.54542857142857,2,44614.69,1.0,0.0,0.0,26.01,Medium
CUST-00004,Customer_4,18,M,South,Employed,62139.71,556,0.229,2827.54,50,56.5508,3,9442.64,1.0,0.0,0.0,23.29,Low
CUST-00005,Customer_5,34,M,Central,Employed,50999.36,630,0.632,1580.33,31,50.97838709677419,1,105604.4,2.0,0.0,1.0,33.41,Medium
CUST-00006,Customer_6,41,F,South,Employed,94126.95,575,0.611,2881.21,26,110.81576923076923,5,24417.53,0.0,0.0,0.0,30.06,Medium
CUST-00007,Customer_7,50,M,South,Self-Employed,65791.94,674,0.211,2827.36,54,52.35851851851852,3,0.0,0.0,0.0,0.0,17.9,Low
CUST-00008,Customer_8,35,F,South,Employed,72329.7,526,0.408,4043.02,48,84.22958333333334,6,0.0,0.0,0.0,0.0,28.65,Medium
CUST-00009,Customer_9,33,F,North,Employed,83819.58,777,0.476,2758.62,31,88.98774193548387,5,98279.32,2.0,0.0,0.0,16.32,Low
CUST-00010,Customer_10,34,F,East,Self-Employed,71839.87,772,0.264,1172.44,25,46.897600000000004,1,45952.99,0.0,0.0,0.0,13.43,Low
CUST-00011,Customer_11,51,M,West,Employed,126238.97,678,0.361,6077.84,46,132.12695652173915,10,0.0,0.0,0.0,0.0,19.22,Low
CUST-00012,Customer_12,51,F,North,Self-Employed,58705.91,825,0.021,1670.64,35,47.73257142857143,2,81740.12,1.0,0.0,0.0,6.01,Low
CUST-00013,Customer_13,43,F,Central,Employed,50794.63,693,0.409,1442.47,26,55.479615384615386,3,0.0,0.0,0.0,0.0,19.93,Low
CUST-00014,Customer_14,39,M,South,Unemployed,47345.27,730,0.547,1546.56,36,42.96,2,0.0,0.0,0.0,0.0,25.96,Medium
CUST-00015,Customer_15,48,M,North,Employed,127328.31,700,0.217,7801.9,53,147.20566037735847,13,364534.30000000005,0.0,2.0,1.0,35.27,Medium
CUST-00016,Customer_16,57,F,South,Employed,50992.1,446,0.407,1159.23,25,46.3692,2,60966.03,2.0,0.0,0.0,33.18,Medium
CUST-00017,Customer_17,32,F,North,Self-Employed,67387.6,502,0.111,3107.67,41,75.79682926829268,4,106821.45999999999,0.0,1.0,0.0,37.47,Medium
CUST-00018,Customer_18,41,M,South,Employed,23850.79,588,0.174,788.8100000000001,39,20.225897435897437,0,168721.14,1.0,0.0,0.0,21.28,Low
CUST-00019,Customer_19,71,M,East,Unemployed,77867.56,661,0.272,1768.57,32,55.2678125,2,53208.45,2.0,0.0,0.0,23.67,Low
CUST-00020,Customer_20,51,M,South,Unemployed,31812.48,615,0.295,440.77,19,23.198421052631577,0,52649.67,0.0,0.0,1.0,33.39,Medium
CUST-00021,Customer_21,25,F,West,Employed,36888.22,691,0.179,1304.71,30,43.49033333333333,1,67317.83,1.0,0.0,0.0,15.41,Low
CUST-00022,Customer_22,62,F,South,Self-Employed,96806.96,685,0.38,3123.9,24,130.1625,4,35677.48,0.0,0.0,0.0,20.78,Low
CUST-00023,Customer_23,47,F,South,Employed,84229.59,670,0.354,2061.72,33,62.47636363636363,3,136509.76,0.0,0.0,0.0,19.36,Low
CUST-00024,Customer_24,37,F,Central,Employed,81297.21,778,0.605,3037.49,37,82.09432432432432,4,29076.36,1.0,0.0,0.0,18.62,Low
CUST-00025,Customer_25,44,F,East,Employed,27118.66,792,0.608,1297.92,28,46.354285714285716,1,221730.87,0.0,1.0,0.0,30.86,Medium
CUST-00026,Customer_26,49,F,North,Unemployed,116936.8,705,0.408,6180.21,42,147.14785714285713,11,85462.31,2.0,0.0,0.0,24.5,Low
CUST-00027,Customer_27,33,M,South,Self-Employed,65917.43,575,0.335,1671.73,36,46.43694444444444,0,66067.51000000001,2.0,0.0,0.0,25.5,Medium
CUST-00028,Customer_28,32,F,Central,Employed,32153.11,754,0.409,679.73,29,23.438965517241378,0,22363.36,1.0,0.0,0.0,16.57,Low
CUST-00029,Customer_29,64,F,Central,Employed,28185.72,615,0.473,736.92,32,23.02875,1,0.0,0.0,0.0,0.0,25.75,Medium
CUST-00030,Customer_30,74,M,North,Self-Employed,63042.92,558,0.438,1502.66,32,46.958125,1,281334.93,2.0,0.0,0.0,28.7,Medium
CUST-00031,Customer_31,47,F,East,Employed,55922.79,751,0.193,1833.21,28,65.47178571428572,2,172850.69,2.0,0.0,0.0,12.12,Low
CUST-00032,Customer_32,30,M,West,Employed,45155.58,748,0.434,995.31,27,36.86333333333333,0,22715.02,1.0,0.0,0.0,17.0,Low
CUST-00033,Customer_33,43,F,Central,Unemployed,107106.93,689,0.336,2795.36,33,84.7078787878788,4,13217.46,1.0,0.0,0.0,23.33,Low
CUST-00034,Customer_34,52,M,East,Unemployed,42952.61,712,0.304,1030.41,22,46.83681818181819,1,0.0,0.0,0.0,0.0,22.15,Low
CUST-00035,Customer_35,85,M,South,Employed,124490.51,773,0.333,3632.44,35,103.784,7,49727.740000000005,2.0,0.0,0.0,13.41,Low
CUST-00036,Customer_36,43,M,Central,Employed,37393.01,681,0.189,551.87,16,34.491875,0,0.0,0.0,0.0,0.0,15.97,Low
CUST-00037,Customer_37,22,M,East,Retired,36635.9,654,0.52,1946.49,54,36.04611111111111,0,107933.5,1.0,0.0,0.0,26.09,Medium
CUST-00038,Customer_38,70,F,South,Employed,165029.18,807,0.705,14008.539999999999,55,254.70072727272725,17,94822.48999999999,2.0,1.0,0.0,31.2,Medium
CUST-00039,Customer_39,44,M,North,Self-Employed,46888.4,534,0.116,2009.58,47,42.757021276595744,1,0.0,0.0,0.0,0.0,23.87,Low
CUST-00040,Customer_40,45,M,Central,Unemployed,24668.32,770,0.297,455.68,30,15.189333333333334,0,55704.26,1.0,0.0,0.0,19.27,Low
CUST-00041,Customer_41,54,F,Central,Employed,40058.34,569,0.155,422.75,15,28.183333333333334,0,0.0,0.0,0.0,0.0,21.32,Low
CUST-00042,Customer_42,26,F,South,Retired,56510.67,505,0.168,727.74,15,48.516,0,0.0,0.0,0.0,0.0,26.66,Medium
CUST-00043,Customer_43,43,M,East,Employed,61832.22,850,0.289,4698.9,49,95.89591836734694,6,16486.19,1.0,0.0,0.0,8.77,Low
CUST-00044,Customer_44,39,F,West,Retired,61913.48,743,0.208,2436.91,54,45.12796296296296,1,210994.39,0.0,0.0,0.0,14.47,Low
CUST-00045,Customer_45,27,M,South,Employed,87357.72,691,0.394,1810.45,22,82.29318181818182,4,53755.54,1.0,0.0,0.0,19.43,Low
CUST-00046,Customer_46,36,M,Central,Self-Employed,67116.09,764,0.307,2973.91,41,72.53439024390244,3,12377.67,1.0,0.0,0.0,14.98,Low
CUST-00047,Customer_47,52,M,North,Employed,101073.79,815,0.312,3101.52,23,134.84869565217392,5,37764.94,0.0,0.0,0.0,11.03,Low
CUST-00048,Customer_48,48,M,South,Employed,40515.08,524,0.121,2202.15,43,51.21279069767442,3,34642.92,0.0,1.0,0.0,35.43,Medium
CUST-00049,Customer_49,39,F,North,Employed,140656.06,645,0.236,1301.24,15,86.74933333333334,2,0.0,0.0,0.0,0.0,17.97,Low
CUST-00050,Customer_50,35,F,South,Employed,100914.47,663,0.405,4558.44,38,119.95894736842104,5,205311.75,2.0,0.0,0.0,20.75,Low
CUST-00051,Customer_51,40,F,South,Unemployed,171403.33,780,0.108,6649.99,36,184.72194444444443,15,70701.76,0.0,0.0,0.0,14.73,Low
CUST-00052,Customer_52,51,F,South,Employed,86411.92,622,0.233,1292.23,20,64.6115,2,179453.13,0.0,1.0,1.0,37.58,Medium
CUST-00053,Customer_53,40,F,East,Employed,83919.45,807,0.237,1573.53,20,78.6765,4,152276.48,1.0,0.0,0.0,10.1,Low
CUST-00054,Customer_54,55,M,North,Employed,46048.02,625,0.474,1288.79,34,37.90558823529412,0,98559.09,1.0,0.0,0.0,24.48,Low
CUST-00055,Customer_55,59,F,North,Employed,50702.05,684,0.223,3050.31,36,84.73083333333334,4,32726.31,1.0,0.0,0.0,16.68,Low
CUST-00056,Customer_56,57,F,South,Employed,91489.06,729,0.267,967.6700000000001,16,60.479375000000005,1,123451.6,2.0,0.0,0.0,14.16,Low
CUST-00057,Customer_57,37,F,South,Retired,62212.36,773,0.381,2452.11,35,70.06028571428571,3,84914.38,0.0,0.0,0.0,16.62,Low
CUST-00058,Customer_58,36,F,Central,Employed,166538.51,793,0.353,5310.09,24,221.25375,7,16255.54,1.0,0.0,0.0,12.83,Low
CUST-00059,Customer_59,32,M,North,Retired,54899.08,563,0.713,2810.16,52,54.04153846153846,3,93538.16,0.0,0.0,0.0,34.72,Medium
CUST-00060,Customer_60,46,M,South,Employed,36529.37,729,0.07,964.8599999999999,19,50.78210526315789,1,0.0,0.0,0.0,0.0,11.27,Low
CUST-00061,Customer_61,56,M,West,Retired,46256.32,530,0.478,828.39,27,30.68111111111111,0,0.0,0.0,0.0,0.0,31.74,Medium
CUST-00062,Customer_62,45,F,North,Retired,24911.0,631,0.313,454.05,23,19.741304347826087,0,32513.1,0.0,0.0,0.0,23.67,Low
CUST-00063,Customer_63,36,F,East,Employed,84336.28,588,0.462,1791.48,21,85.30857142857143,2,0.0,0.0,0.0,0.0,26.02,Medium
CUST-00064,Customer_64,48,F,South,Employed,25751.22,799,0.455,868.9200000000001,28,31.032857142857146,1,0.0,0.0,0.0,0.0,15.48,Low
CUST-00065,Customer_65,56,M,Central,Self-Employed,62139.38,850,0.679,2486.06,33,75.33515151515151,2,153576.07,1.0,0.0,0.0,17.76,Low
CUST-00066,Customer_66,38,F,North,Employed,85387.65,808,0.141,1879.67,21,89.50809523809524,3,0.0,0.0,0.0,0.0,7.82,Low
